Job ID,Dataset,Preserve order,Parallelism,Num cpus preprocess,Num cpus inference,Batch size preprocess,Batch size inference,Concurrency,Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,64,8,4,1137488,6388,100,108.494016170502,58.8788232335418,106.905172109604,59.7538909852813
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,64,16,1,1137488,6388,100,442.986387491226,14.4203076671888,441.032995462418,14.4841770700223
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,64,16,4,1137488,6388,100,121.439065933228,52.6025126338867,119.909050941467,53.273709948036
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,64,32,1,1137488,6388,100,537.333657264709,11.8883303021032,535.624091625214,11.9262746016843
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,64,32,4,1137488,6388,100,124.152186155319,51.4529803930183,122.535460710526,52.1318478990407
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,64,64,1,1137488,6388,100,538.703012943268,11.8581107707165,536.977930784225,11.8962058471764
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,64,64,4,1137488,6388,100,142.941946744919,44.6894711137483,141.344596624374,45.1945115169575
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,8,2,1132208,6388,60,186.754163503647,34.2053953719498,181.627154588699,35.1709523527241
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,8,3,1132208,6388,60,141.102308511734,45.2721154414619,139.415686845779,45.8198079751697
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,8,5,1132208,6388,60,87.9563038349152,72.6269718198892,86.3099262714386,74.0123445350908
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,16,2,1132208,6388,60,191.749005794525,33.3143839444219,190.085554599762,33.6059203102012
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,16,3,1132208,6388,60,147.622198343277,43.2726247928208,146.018000602722,43.7480308840834
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,16,5,1132208,6388,60,96.5151662826538,66.1864890880687,94.8198385238648,67.3698679458543
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,32,2,1132208,6388,60,231.584663391113,27.5838646068353,229.810122251511,27.7968608928757
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,32,3,1132208,6388,60,163.513467073441,39.0671185336122,161.903450727463,39.4556136468834
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,32,5,1132208,6388,60,104.86572599411,60.9159946154265,103.14679312706,61.9311546809898
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,64,2,1132208,6388,60,249.269374608994,25.6268946396655,247.565392017365,25.8032835201454
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,64,3,1132208,6388,60,196.705886602402,32.4748796812164,195.069113731384,32.7473677293498
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,64,5,1132208,6388,60,116.544141292572,54.8118500780197,114.737362384796,55.6749768970328
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,8,2,1132208,6388,60,189.350563049316,33.7363665421805,187.600907564163,34.0510079772145
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,8,3,1132208,6388,60,138.731354236603,46.0458274566067,137.19434762001,46.5616850170312
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,8,5,1132208,6388,60,108.459163665771,58.8977434833013,90.8862180709839,70.285683963776
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,16,2,1132208,6388,60,202.534511089325,31.5403037519007,200.781256198883,31.8157188620854
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,16,3,1132208,6388,60,154.847719907761,41.253432751901,153.245773553848,41.684673266081
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,16,5,1132208,6388,60,97.4331171512604,65.5629234368323,95.777055978775,66.6965583220227
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,32,2,1132208,6388,60,228.419404983521,27.9661003427483,226.620241880417,28.188126298845
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,32,3,1132208,6388,60,169.259213924408,37.7409291458302,167.924345493317,38.0409402891151
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,32,5,1132208,6388,60,104.271833658218,61.2629487358835,102.592507600784,62.2657555545622
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,64,2,1132208,6388,60,247.688158512115,25.7904941373592,245.96605014801,25.9710638771327
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,64,3,1132208,6388,60,188.738720417023,33.8457312091846,187.098271608353,34.1424853639044
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,64,5,1132208,6388,60,120.315401792526,53.0937843769625,118.628952026367,53.8485748283451
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,8,2,1132208,6388,60,178.944334030151,35.6982523901743,177.245713949204,36.0403637282351
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,8,3,1132208,6388,60,141.579348564148,45.1195747457877,139.98965883255,45.6319420539561
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,8,5,1132208,6388,60,91.3751006126404,69.909635745083,89.7077555656433,71.209004837108
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,16,2,1132208,6388,60,201.649085760116,31.6787947533728,199.935895204544,31.9502408182621
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,16,3,1132208,6388,60,148.816496133804,42.9253487748858,147.443570613861,43.3250495318612
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,16,5,1132208,6388,60,97.7874433994293,65.3253605772996,95.9986822605133,66.5425800602635
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,32,2,1132208,6388,60,213.611144542694,29.9048067631286,211.875093460083,30.149839207993
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,32,3,1132208,6388,60,172.674383878708,36.9944855543086,171.003505945206,37.3559592517764
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,32,5,1132208,6388,60,110.321999073029,57.9032292169707,108.659741401672,58.7890226646691
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,64,2,1132208,6388,60,246.996508359909,25.8627137784951,245.250512361526,26.0468365121431
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,64,3,1132208,6388,60,188.274189472199,33.9292391480102,186.648082494736,34.2248359298316
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,64,5,1132208,6388,60,154.105878591537,41.4520202498673,137.22870182991,46.5500286369952
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,8,2,1132208,6388,60,245.920785427093,25.9758441682995,243.953058958054,26.1853654440069
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,8,3,1132208,6388,60,142.509732961655,44.8250085607755,140.89456820488,45.338866369291
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,8,5,1132208,6388,60,90.5456428527832,70.5500540803068,88.7830204963684,71.9506946743414
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,16,2,1132208,6388,60,211.584713220596,30.1912170438321,209.473856925964,30.4954522427959
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,16,3,1132208,6388,60,168.619292497635,37.8841584813885,166.930446863174,38.2674348510908
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,16,5,1132208,6388,60,106.556079864502,59.9496528787758,104.791698694229,60.959027094689
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,32,2,1132208,6388,60,241.644383907318,26.4355409246759,239.803788661957,26.638444853784
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,32,3,1132208,6388,60,180.588595867157,35.3732192740403,178.892429590225,35.708609998939
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,32,5,1132208,6388,60,111.992835283279,57.0393631328462,110.240233898163,57.9461760386056
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,64,2,1132208,6388,60,253.727370262146,25.1766295193146,251.941105365753,25.3551320683708
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,64,3,1132208,6388,60,192.405590772629,33.2006984534503,190.816632986069,33.4771654862309
5000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,64,5,1132208,6388,60,119.196293354034,53.5922705333335,117.495622396469,54.3679829912707
5000000,2024-02-15_22h39m22s,False,50,5.5,5.5,8,8,2,1130888,6388,50,176.967193841934,36.0970859135943,175.299716949463,36.4404467455107
5000000,2024-02-15_22h39m22s,False,50,5.5,5.5,8,8,3,1130888,6388,50,134.004658222199,47.6699846464128,132.604693889618,48.1732570139445
5000000,2024-02-15_22h39m22s,False,50,5.5,5.5,8,8,5,1130888,6388,50,89.4047291278839,71.4503590840553,87.7115018367767,72.8296730329336
5000000,2024-02-15_22h39m22s,False,50,5.5,5.5,8,16,2,1130888,6388,50,204.343060255051,31.2611546094437,202.698044776916,31.5148575164129
